"cd_trattamento","cd_ti_compenso","dt_inizio_validita","ds_ti_compenso","fl_registra_fattura","fl_diaria","dt_fine_validita","duva","utcr","dacr","utuv","pg_ver_rec"
"R021","A","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R025C","A","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R048","A","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R048C","A","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R085C","A","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R089C","A","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R091","A","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R121","A","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R121C","A","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R123","M","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R123C","M","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R127","M","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R127C","M","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R128","M","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R128C","M","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R132","M","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R134","M","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
